beta,ctprime,yaw,ct,an,dPstar,us,A4,u4,v4,success
0.01,20.55789473684211,-0.7853981633974483,1.1992743189192174,0.6584258897276886,0.015204002011755082,1.015090145762227,1.7245206786981355,0.1400559429901749,0.21200375085424286,true
0.01,20.55789473684211,-0.6108652381980153,1.2269176712177023,0.7017682531197049,0.020911993108007322,1.020697793763419,2.2671516791034896,0.10775506191132826,0.17593277647283603,true
0.01,20.55789473684211,-0.4363323129985824,1.2485901557060286,0.7280776387803578,0.025771805663789827,1.025448005180006,2.721976986472829,0.09053910258532949,0.13191925030946125,true
0.01,20.55789473684211,-0.2617993877991494,1.2652897353619452,0.7431604529629843,0.029198181185672484,1.0287839240549916,3.0390055311712327,0.08163459716349912,0.08187027038523621,true
0.01,20.55789473684211,-0.08726646259971647,1.274335890819342,0.7500757414107229,0.03097722391037794,1.0305117407519557,3.2024353078936745,0.07774497002338698,0.02776642278155007,true
0.01,20.55789473684211,0.08726646259971647,1.274335890819342,0.7500757414107229,0.03097722391037794,1.0305117407519557,3.2024353078936745,0.07774497002338698,-0.02776642278155007,true
0.01,20.55789473684211,0.2617993877991494,1.265289735361943,0.7431604529629845,0.02919818118567191,1.028783924054991,3.0390055311712016,0.0816345971634987,-0.0818702703852363,true
0.01,20.55789473684211,0.4363323129985824,1.2485901557060286,0.7280776387803578,0.025771805663789827,1.025448005180006,2.721976986472829,0.09053910258532949,-0.13191925030946125,true
0.01,20.55789473684211,0.6108652381980153,1.2269176712177023,0.7017682531197049,0.020911993108007322,1.020697793763419,2.2671516791034896,0.10775506191132826,-0.17593277647283603,true
0.01,20.55789473684211,0.7853981633974483,1.1992743189192143,0.658425889727689,0.01520400201175412,1.0150901457622261,1.72452067869805,0.1400559429901818,-0.21200375085424245,true
0.01,22.13157894736842,-0.7853981633974483,1.2065841603721692,0.6697919868146728,0.015537674303103328,1.015418804536447,1.7484143209601235,0.13354519154914493,0.21329596046902238,true
