name,ctp,yaw,ct,cp,u4,v4,an,p1,p4,dp,x0,dv,du
yaw_04_ct_08,3.6,20.0,1.023949984795173,0.546093321658054,0.2273834649376403,-0.07229153876709288,0.43245238221055415,0.004641638955672018,-0.031105816771863238,-0.03574745572753526,3.5,0.07229153876709288,0.7726165350623597
yaw_04_ct_09,4.0,20.0,1.0457237492694749,0.5346818737391598,0.20000321577714247,-0.07239575265938406,0.4558825255938985,0.004901332355809163,-0.036221583656102264,-0.041122916011911426,3.9000000000000004,0.07239575265938406,0.7999967842228575
yaw_04_ct_11,4.8,20.0,1.0781048700719296,0.51094116406756,0.1640737040356923,-0.07292155061799657,0.4956592397107078,0.005297651171246954,-0.046011477351857774,-0.05130912852310473,3.5999999999999996,0.07292155061799657,0.8359262959643077
yaw_04_ct_13,5.6,20.0,1.101090874695181,0.4882482908072524,0.14250576156155523,-0.07353146881874113,0.5281198033084497,0.005588867029193698,-0.054198218237588636,-0.059787085266782336,3.200000000000001,0.07353146881874113,0.8574942384384447
yaw_04_ct_15,6.4,20.0,1.1178176378222116,0.4671608607699928,0.12609372643181052,-0.07394099846882053,0.5552564323723697,0.005836380292772774,-0.06160634724788847,-0.06744272754066125,3.200000000000001,0.07394099846882053,0.8739062735681895
yaw_04_ct_17,7.2,20.0,1.1330974901465638,0.44950514618120724,0.11778996821702362,-0.07484235142098938,0.5778356325564693,0.00594771304835979,-0.06836393208255645,-0.07431164513091625,2.9000000000000004,0.07484235142098938,0.8822100317829764
yaw_04_ct_19,8.0,20.0,1.1437864763011663,0.4324863873592914,0.10842847958683524,-0.07528666075098633,0.597615105736763,0.006104800543058015,-0.07442198572679316,-0.08052678626985117,2.9000000000000004,0.07528666075098633,0.8915715204131648
yaw_04_ct_21,8.8,20.0,1.1532301816031307,0.41747710562797163,0.10239303602450642,-0.07612882688837373,0.6147604672388329,0.00619881594476194,-0.08021107408231411,-0.08640989002707605,2.8000000000000007,0.07612882688837373,0.8976069639754936
yaw_04_ct_23,9.6,20.0,1.161605144783781,0.4040658747323919,0.09809719325428785,-0.07682056866515614,0.6298243646413197,0.006263218426993945,-0.0839960190256904,-0.09025923745268434,2.6000000000000005,0.07682056866515614,0.9019028067457121
yaw_06_ct_00,0.4,30.0,0.2547456219545217,0.20329659175748221,0.8649590985313773,-0.0348335003938518,0.07850552189297455,0.0006119153897850549,-0.0006367112882019744,-0.0012486266779870294,9.4,0.0348335003938518,0.1350409014686227
yaw_06_ct_01,0.8,30.0,0.4409648545135393,0.32738665451969023,0.7518552031509478,-0.05865413333401063,0.14271275281313545,0.0011613871530526012,-0.0013944263618629405,-0.0025558135149155417,9.4,0.05865413333401063,0.24814479684905222
